tiempo,ps0_raw,ps0_simple,ps0_kal,ps7_raw,ps7_simple,ps7_kal,ps2_raw,ps2_simple,ps2_kal,ps5_raw,ps5_simple,ps5_kal,enc_left,enc_right
2.1,67.5217,66.9733,66.3998,67.1667,66.842,66.2834,63.6217,66.1439,66.3797,68.0021,65.5831,66.4009,439.8512,313.62948
2.15,66.7193,67.5821,66.4462,68.8062,66.7544,66.697,66.4807,66.1096,66.3966,65.8995,65.6088,66.3173,440.25312,314.0314
2.2,63.5949,67.1499,65.9641,67.7615,66.2232,66.8675,70.7643,66.2705,67.1245,62.4848,64.7338,65.6786,440.65504,314.43332
2.25,65.9061,66.7338,65.9476,71.3717,68.0526,67.6114,70.073,65.7866,67.6159,66.857,65.5294,65.875,441.05696,314.82896
2.3,70.3029,66.809,66.6667,68.8352,68.7882,67.8086,68.1097,67.8099,67.6982,72.2453,67.0977,66.9367,441.4526,315.23088
2.35,67.5919,66.823,66.814,59.7799,67.3109,66.4636,63.7883,67.8432,67.0466,63.1896,66.1352,66.3122,441.85452,315.6328
2.4,61.1399,65.7072,65.8615,73.18,68.1856,67.5761,71.6269,68.8725,67.81,66.4682,66.249,66.3382,442.25644,316.03472
2.45,66.3288,66.2539,65.9325,67.0069,68.0347,67.4744,64.542,67.628,67.2653,71.6406,68.0801,67.2219,442.65836,316.43664
2.5,61.6046,65.3936,65.2044,64.9306,66.7465,67.0437,66.8304,66.9795,67.1928,70.1154,68.7318,67.7042,443.054,316.83228
2.55,64.9347,64.32,65.1526,71.0005,67.1796,67.6963,69.8489,67.3273,67.6355,67.2798,67.7387,67.6334,443.45592,317.2342
2.6,71.0023,65.0021,66.1207,66.133,68.4502,67.4289,66.9753,67.9647,67.5255,69.0492,68.9106,67.8694,443.85784,317.63612
2.65,65.1815,65.8104,65.9573,64.1944,66.6531,66.8829,68.786,67.3965,67.7356,64.5181,68.5206,67.3109,444.25976,318.03804
2.7,66.0489,65.7544,65.9657,67.3794,66.7276,66.9589,69.52,68.3921,68.033,64.0847,67.0095,66.7732,444.66168,318.43368
2.75,66.5871,66.7509,66.0625,61.0293,65.9473,65.9638,64.0017,67.8264,67.3611,68.4348,66.6733,67.0501,445.05732,318.8356
2.8,68.1945,67.4028,66.4109,64.8259,64.7124,65.7673,62.7385,66.4043,66.5907,64.7058,66.1585,66.6594,445.45924,319.23752
2.85,66.5963,66.5216,66.435,77.6609,67.018,67.7427,69.33,66.8753,67.0472,72.3652,66.8217,67.6104,445.86116,319.63944
2.9,67.39,66.9633,66.5873,73.282,68.8355,68.659,69.1459,66.9472,67.397,68.0314,67.5244,67.6805,446.26308,320.04136
2.95,66.2968,67.0129,66.532,71.8295,69.7255,69.1806,75.0596,68.0552,68.6741,72.1423,69.1359,68.4242,446.665,320.437
3.0,70.0589,67.7073,67.113,69.4744,71.4145,69.2228,68.4594,68.9467,68.6383,68.1062,69.0702,68.3712,447.06064,320.83892
3.05,64.8165,67.0317,66.7234,67.6869,71.9867,68.9599,65.8494,69.5689,68.1735,67.6339,69.6558,68.2483,447.46256,321.24084
3.1,68.2657,67.3656,66.9736,78.8677,72.2281,70.6044,63.9771,68.4983,67.4741,64.9799,68.1787,67.7036,447.86448,321.64276
3.15,68.5329,67.5942,67.2266,110.9069,79.7531,77.3146,60.4438,66.7579,66.3024,65.4096,67.6544,67.3212,448.2664,322.04468
3.2,61.083,66.5514,66.1959,121.997,89.7866,84.7549,64.8157,64.7091,66.0546,68.8345,66.9928,67.5734,448.66204,322.44032
3.25,70.514,66.6424,66.9156,62.7043,88.4326,81.0798,70.5331,65.1238,66.801,71.2332,67.6182,68.1834,448.863,322.23936
3.3,67.8428,67.2477,67.0701,65.6343,88.0221,78.5055,64.9621,64.9463,66.4945,66.5352,67.3985,67.9087,449.06396,322.04468
3.35,66.2591,66.8464,66.9281,70.8964,86.4278,77.2305,65.1466,65.1802,66.2699,67.4878,67.9001,67.8386,449.46588,322.44032
3.4,66.7052,66.4808,66.8841,69.1818,78.0828,75.8822,69.5786,67.0072,66.8213,68.4571,68.5096,67.9417,449.8678,322.84224
3.45,72.0723,68.6787,67.7419,68.1065,67.3047,74.5794,63.8865,66.8214,66.3322,70.2124,68.7851,68.3201,450.26972,323.24416
3.5,63.9303,67.3619,67.0998,70.7514,68.9141,73.9346,67.5461,66.224,66.5345,154.7081,85.4801,82.7181,450.66536,323.64608
3.55,65.1153,66.8165,66.7633,72.7952,70.3463,73.7389,57.5568,64.7429,65.0382,240.7738,120.3279,109.0607,451.06728,323.9224
3.6,68.8836,67.3414,67.1108,70.4437,70.2557,73.1838,67.9682,65.3072,65.5266,351.6483,177.16,149.492,451.4692,324.205
3.65,67.7425,67.5488,67.2103,62.977,69.0148,71.4768,61.9359,63.7787,64.9281,917.0547,346.8795,277.4191,451.87112,324.4876
3.7,64.8649,66.1073,66.8136,66.5774,68.7089,70.6545,64.3789,63.8772,64.8366,927.3666,518.3103,385.7437,452.27304,324.76392
3.75,71.6288,67.647,67.6103,68.4177,68.2422,70.2759,62.8384,62.9356,64.5035,353.8207,558.1328,380.4232,452.66868,325.04652
3.8,69.4342,68.5108,67.9085,65.2518,66.7335,69.4327,64.2199,64.2683,64.4563,170.7147,544.121,345.4718,453.0706,325.32912
